16 3 16 2 13 1 2
32 7 32 7 3 2 3
64 22 64 22 9 4 4
128 82 126 82 9 7 9
256 307 253 315 22 15 17
505 1173 507 1169 41 28 37
1000 4082 1001 3651 55 38 43
1954 10818 1942 9196 99 59 64
3702 35623 3716 31582 296 162 165
6727 129061 6781 124637 728 233 251
16 1 16 1 1 1 1
32 3 32 4 1 1 1
64 10 64 10 2 1 2
127 40 127 36 4 3 4
256 143 256 142 8 7 8
505 535 506 531 15 12 15
991 2079 998 2122 34 62 44
1955 8305 1948 8589 92 58 62
3705 32183 3714 31561 201 118 124
6673 122412 6727 118634 413 208 234
16 1 16 1 1 1 1
32 3 32 3 4 1 1
64 10 63 10 2 2 2
127 34 128 34 4 3 4
255 130 254 129 8 6 8
510 489 505 700 21 13 15
1002 2135 995 2026 43 27 30
1948 7814 1946 8027 75 54 58
3708 31058 3679 30574 314 152 190
6746 125182 6712 124389 483 215 240
16 1 16 1 4 1 1
32 3 32 3 1 1 1
64 10 64 11 2 1 2
127 36 128 36 4 3 4
256 130 256 133 8 6 7
510 511 504 509 15 12 15
999 2027 992 2084 53 27 30
1931 8171 1970 9512 113 58 64
3685 32208 3691 30311 161 122 124
6715 123437 6714 120147 292 208 219
16 1 16 1 1 1 1
32 3 32 3 1 0 1
64 10 64 10 5 2 2
128 36 128 35 5 3 4
256 138 256 138 9 6 8
506 518 507 522 16 13 15
1003 2027 1002 2223 37 27 30
1955 7958 1944 8024 85 56 61
3731 30630 3704 30070 163 136 189
6707 115015 6766 124178 453 223 248
16 2 16 1 1 1 1
32 3 32 3 2 1 2
64 11 64 10 2 2 3
126 35 128 36 4 3 4
255 141 254 146 19 7 24
507 592 507 544 18 14 16
997 2067 1003 2079 38 26 29
1950 8255 1940 8134 68 54 59
3709 32504 3719 33062 279 123 131
6725 125875 6699 129639 965 359 372
16 2 16 1 2 0 0
32 4 32 5 2 1 2
64 14 64 14 3 2 3
127 52 128 66 19 12 7
251 192 255 221 25 9 11
506 733 508 564 27 13 15
996 2265 991 2193 69 29 30
1952 8567 1953 8382 131 63 68
3693 35654 3680 32581 256 119 129
6699 122771 6752 127180 327 216 244
16 1 16 1 1 0 0
32 3 32 3 1 1 1
64 11 64 10 2 1 2
128 37 127 37 5 3 4
249 138 254 139 8 6 7
504 537 511 531 16 13 16
990 2190 1000 2082 35 28 31
1931 8170 1936 8264 118 61 65
3712 32763 3672 32413 236 117 125
6722 130021 6700 116401 415 214 239
16 1 16 0 9 1 1
32 4 32 3 1 1 2
64 9 64 10 5 2 2
128 33 128 36 4 3 4
255 133 255 130 8 6 7
508 502 504 503 16 13 15
1008 2101 1005 2085 37 27 30
1943 7910 1945 8414 69 52 57
3693 30957 3679 32669 161 113 121
6726 134828 6724 121401 472 223 247
15 1 16 1 1 0 0
32 3 32 3 1 1 1
64 11 64 11 4 1 2
128 39 128 35 5 3 4
255 138 255 138 9 7 8
510 525 503 526 16 13 15
995 2070 994 2045 37 28 31
1943 8313 1953 7977 77 54 58
3707 30207 3695 30128 146 104 111
6742 116094 6737 119496 397 212 236
