16 2 16 2 3 5 3
32 4 32 3 5 5 6
64 13 64 11 10 9 10
128 35 128 35 19 18 20
256 116 255 131 37 35 37
499 402 505 413 72 71 74
1000 1611 998 1727 148 147 148
1939 6780 1933 6165 247 242 253
3687 25317 3673 26893 665 519 473
6695 134669 6729 114697 953 845 942
16 2 16 1 2 2 2
32 3 32 4 3 4 4
63 9 64 10 7 7 7
128 27 128 27 14 15 16
253 100 256 100 32 30 33
503 348 504 344 61 60 60
992 1429 998 1385 120 118 121
1950 5824 1955 5852 238 233 245
3728 24667 3706 25333 472 451 467
6698 129620 6712 130727 943 840 856
16 1 16 1 3 2 2
32 3 32 3 4 4 4
64 10 64 9 7 7 8
128 29 128 25 14 14 16
256 100 256 96 32 31 33
503 344 508 353 62 60 63
1002 1351 995 1335 121 162 124
1953 5622 1946 5483 238 233 240
3704 25962 3728 24570 544 1091 588
6739 140781 6746 119393 1095 878 886
16 1 16 1 2 2 2
32 4 32 3 4 3 3
64 9 64 9 8 7 7
127 31 127 27 15 15 15
254 99 254 95 31 31 33
509 365 508 435 62 60 74
1001 1368 997 1500 121 120 121
1943 5779 1957 5626 237 232 239
3723 29663 3691 26194 482 505 475
6756 123457 6728 126359 940 850 876
16 1 16 1 2 2 2
32 4 32 3 4 3 3
64 9 63 9 7 7 7
128 26 128 28 16 16 16
254 122 254 96 48 31 33
508 352 507 336 61 61 62
1001 1516 991 1387 121 120 124
1954 5531 1953 5778 239 234 244
3695 24462 3693 26433 465 448 464
6699 121272 6751 129020 993 863 880
16 2 16 2 2 2 2
32 3 32 3 4 3 3
64 10 63 10 7 7 7
128 30 128 26 15 15 16
254 97 255 98 31 31 33
505 353 511 358 62 60 64
1000 1377 1001 1499 120 118 124
1963 5792 1941 5779 238 233 242
3713 25051 3682 27701 476 538 476
6759 137955 6719 112543 903 842 867
16 1 16 2 2 2 2
32 3 32 3 4 4 4
64 9 63 10 7 7 7
127 28 127 29 15 14 16
254 95 254 94 32 31 33
506 381 501 330 61 60 61
994 1343 1007 1418 121 119 123
1948 5794 1946 6059 238 233 242
3682 24280 3696 24507 477 460 469
6677 159285 6708 131142 1069 929 922
16 1 16 1 3 2 2
32 4 32 3 4 3 3
64 9 64 10 8 8 8
128 29 128 41 18 17 17
256 159 256 138 38 48 36
504 402 505 361 66 64 66
1004 1472 998 1485 129 126 130
1959 6355 1946 6148 272 256 260
3688 30065 3671 29205 757 608 532
6732 151158 6712 135343 1182 891 919
16 2 16 2 2 2 2
32 4 32 4 4 4 4
64 9 64 10 7 7 7
128 30 128 30 17 16 17
253 107 255 106 33 33 36
507 378 505 361 65 64 66
1002 1641 998 1572 137 127 130
1951 6368 1937 5847 256 364 344
3697 30822 3697 30471 570 720 568
6697 130101 6770 139943 1211 896 911
16 2 16 2 2 2 2
32 3 32 4 3 3 4
64 9 64 9 7 7 7
128 27 128 26 16 16 16
255 98 256 98 32 31 33
505 354 505 357 81 62 79
999 1410 992 1644 130 142 126
1940 5736 1936 7205 325 306 270
3670 34130 3749 35472 725 502 636
6687 139440 6715 125036 1142 996 939
