16 21 16 15 41 5 17
32 39 32 39 150 13 53
64 147 64 144 613 45 199
127 637 128 628 2468 143 667
254 2104 253 2021 8262 539 2373
507 7614 504 7460 33326 2287 9393
1000 31935 998 31089 128934 7356 35196
1957 130616 1946 129255 536758 32565 138458
3702 567571 3736 612542 1890337 163320 479716
6681 2539058 6693 2390438 5643465 741822 1284430
16 10 16 8 29 3 12
32 26 32 57 147 10 39
64 103 64 160 462 33 142
128 423 127 417 1767 119 565
253 1754 255 2046 8517 451 2544
501 8028 508 7231 34349 1932 9305
1002 33011 996 33917 123926 7798 36503
1952 132631 1941 138887 566306 34839 138828
3696 664033 3715 583513 1935106 161123 500405
6783 2517724 6695 2359824 5586672 757297 1386702
16 9 16 8 28 3 11
32 26 32 25 103 9 37
64 99 64 100 413 32 139
128 403 128 404 1743 116 552
254 1617 256 1791 7663 624 2466
507 7517 499 6982 30929 1789 8973
1006 30811 992 29851 133363 7547 36705
1946 129531 1943 128611 622262 34164 150257
3700 630155 3737 635237 1958667 164612 483158
6729 2377925 6750 2680078 5614985 778157 1264732
16 9 16 7 28 3 11
32 25 32 46 151 9 36
64 97 64 96 402 31 135
128 395 128 393 1677 112 533
254 1614 255 1745 7167 434 2219
505 6887 505 6885 31219 1826 8971
1000 30700 989 29602 133285 7630 34774
1945 129152 1942 133856 552124 34503 135692
3710 574114 3691 598308 1928794 162233 465511
6694 2434457 6701 2521348 5693014 751385 1274166
16 9 16 8 27 3 10
32 25 32 25 99 9 36
64 97 64 96 402 31 174
128 411 128 393 1673 114 636
255 1642 255 1644 7214 441 2133
505 6828 508 6951 30294 1773 8509
997 29160 1001 30155 139864 7839 36210
1960 131314 1960 129703 531302 31654 144426
3682 559086 3682 556929 2012140 159137 509957
6707 2575864 6688 2381045 5866241 749708 1294626
16 8 16 7 28 3 11
32 25 32 26 101 9 37
64 101 64 98 406 31 136
128 395 128 395 1674 113 531
251 1591 254 1654 6976 416 2056
510 6930 505 6881 29931 1766 8781
992 31074 1004 31815 139912 8174 38217
1944 140097 1950 136425 582804 34696 156427
3687 628208 3683 570617 1907155 157757 514326
6730 2527718 6776 2611639 5475074 773388 1301369
16 9 16 8 27 3 11
32 25 32 25 101 9 36
64 98 64 98 406 31 137
128 396 128 396 1743 113 523
253 1611 255 1631 6964 435 2095
506 6959 506 6948 30779 1792 8798
999 29794 992 30746 132197 7616 36592
1943 133903 1935 127363 534635 31775 139775
3700 598573 3699 624839 1840272 169999 496538
6731 2498730 6667 2417934 5574654 745410 1340987
16 9 16 8 28 3 11
32 26 32 25 102 9 37
63 96 64 99 407 32 134
127 400 127 396 1726 115 524
256 1730 254 1616 7530 445 2163
503 6982 503 6933 32974 1897 9038
1007 33874 1004 30764 126876 8176 37672
1962 136914 1940 139645 514346 36746 148833
3712 602732 3698 593526 1861077 166031 474808
6731 2500682 6742 2287485 5784632 805876 1304312
16 8 16 8 27 3 11
32 25 32 24 100 9 35
64 97 64 96 401 31 133
128 395 128 392 1667 113 527
252 1605 255 1639 7071 436 2095
510 7069 507 7003 32178 1855 9220
994 29967 1002 29921 121569 7640 35930
1944 126937 1934 133717 569740 34016 146650
3722 554924 3696 597632 1927209 173373 488629
6730 2453561 6682 2418188 5539348 734604 1300704
16 8 16 27 28 4 12
32 46 32 25 102 10 57
64 103 64 100 410 32 135
127 400 127 419 1713 116 535
256 1719 252 1824 8118 515 2326
507 7249 508 7139 33984 1823 9348
1002 30897 999 30814 138187 8232 37298
1937 125304 1950 127380 524936 31213 135753
3705 638162 3701 592796 1966805 163643 503419
6763 2493956 6725 2304982 5881626 771251 1362314
